,Name,Rank,Year,Rating
0,The Shawshank Redemption,1,1994,9.2
1,The Godfather,2,1972,9.1
2,The Godfather: Part II,3,1974,9.0
3,The Dark Knight,4,2008,9.0
4,12 Angry Men,5,1957,8.9
5,Schindler's List,6,1993,8.9
6,The Lord of the Rings: The Return of the King,7,2003,8.9
7,Pulp Fiction,8,1994,8.8
8,"Il buono, il brutto, il cattivo",9,1966,8.8
9,The Lord of the Rings: The Fellowship of the Ring,10,2001,8.8
10,Fight Club,11,1999,8.7
11,Forrest Gump,12,1994,8.7
12,Inception,13,2010,8.7
13,The Lord of the Rings: The Two Towers,14,2002,8.7
14,Star Wars: Episode V - The Empire Strikes Back,15,1980,8.7
15,The Matrix,16,1999,8.7
16,Goodfellas,17,1990,8.6
17,One Flew Over the Cuckoo's Nest,18,1975,8.6
18,Shichinin no samurai,19,1954,8.6
19,Se7en,20,1995,8.6
20,The Silence of the Lambs,21,1991,8.6
21,Cidade de Deus,22,2002,8.6
22,It's a Wonderful Life,23,1946,8.6
23,La vita è bella,24,1997,8.6
24,Saving Private Ryan,25,1998,8.6
25,Star Wars,26,1977,8.5
26,Interstellar,27,2014,8.5
27,Sen to Chihiro no kamikakushi,28,2001,8.5
28,The Green Mile,29,1999,8.5
29,Spider-Man: No Way Home,30,2021,8.5
30,Gisaengchung,31,2019,8.5
31,Léon,32,1994,8.5
32,Seppuku,33,1962,8.5
33,The Pianist,34,2002,8.5
34,Terminator 2: Judgment Day,35,1991,8.5
35,Back to the Future,36,1985,8.5
36,The Lion King,37,1994,8.5
37,The Usual Suspects,38,1995,8.5
38,Psycho,39,1960,8.5
39,Modern Times,40,1936,8.5
40,Hotaru no haka,41,1988,8.5
41,American History X,42,1998,8.5
42,Whiplash,43,2014,8.5
43,Gladiator,44,2000,8.5
44,The Departed,45,2006,8.5
45,City Lights,46,1931,8.5
46,The Intouchables,47,2011,8.5
47,The Prestige,48,2006,8.5
48,Casablanca,49,1942,8.4
49,Once Upon a Time in the West,50,1968,8.4
50,Rear Window,51,1954,8.4
51,Nuovo Cinema Paradiso,52,1988,8.4
52,Alien,53,1979,8.4
53,Apocalypse Now,54,1979,8.4
54,Memento,55,2000,8.4
55,Raiders of the Lost Ark,56,1981,8.4
56,The Great Dictator,57,1940,8.4
57,Django Unchained,58,2012,8.4
58,The Lives of Others,59,2006,8.4
59,Paths of Glory,60,1957,8.4
60,Sunset Blvd.,61,1950,8.4
61,WALL·E,62,2008,8.4
62,Avengers: Infinity War,63,2018,8.4
63,Spider-Man: Into the Spider-Verse,64,2018,8.4
64,Witness for the Prosecution,65,1957,8.4
65,The Shining,66,1980,8.4
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,67,1964,8.4
67,Mononoke-hime,68,1997,8.3
68,Oldeuboi,69,2003,8.3
69,Joker,70,2019,8.3
70,Kimi no na wa.,71,2016,8.3
71,Coco,72,2017,8.3
72,The Dark Knight Rises,73,2012,8.3
73,Aliens,74,1986,8.3
74,Once Upon a Time in America,75,1984,8.3
75,Avengers: Endgame,76,2019,8.3
76,Capharnaüm,77,2018,8.3
77,Das Boot,78,1981,8.3
78,Tengoku to jigoku,79,1963,8.3
79,3 Idiots,80,2009,8.3
80,Toy Story,81,1995,8.3
81,Amadeus,82,1984,8.3
82,American Beauty,83,1999,8.3
83,Braveheart,84,1995,8.3
84,Inglourious Basterds,85,2009,8.3
85,Good Will Hunting,86,1997,8.3
86,Hamilton,87,2020,8.3
87,Idi i smotri,88,1985,8.3
88,Star Wars: Episode VI - Return of the Jedi,89,1983,8.3
89,2001: A Space Odyssey,90,1968,8.3
90,Reservoir Dogs,91,1992,8.3
91,Taare Zameen Par,92,2007,8.3
92,Vertigo,93,1958,8.3
93,M - Eine Stadt sucht einen Mörder,94,1931,8.3
94,Jagten,95,2012,8.3
95,Citizen Kane,96,1941,8.3
96,Singin' in the Rain,97,1952,8.3
97,Requiem for a Dream,98,2000,8.3
98,North by Northwest,99,1959,8.3
99,Ikiru,100,1952,8.3
100,Eternal Sunshine of the Spotless Mind,101,2004,8.3
101,Ladri di biciclette,102,1948,8.3
102,Lawrence of Arabia,103,1962,8.2
103,The Kid,104,1921,8.2
104,Full Metal Jacket,105,1987,8.2
105,Incendies,106,2010,8.2
106,Dangal,107,2016,8.2
107,The Apartment,108,1960,8.2
108,Double Indemnity,109,1944,8.2
109,Metropolis,110,1927,8.2
110,A Clockwork Orange,111,1971,8.2
111,Taxi Driver,112,1976,8.2
112,The Father,113,2020,8.2
113,The Sting,114,1973,8.2
114,Jodaeiye Nader az Simin,115,2011,8.2
115,Scarface,116,1983,8.2
116,Snatch,117,2000,8.2
117,1917,118,2019,8.2
